@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2018/02/15 22:47:16:671',1,0,0,0.09,1,0.14
2,'2018/02/15 22:47:16:687',1,0,0,0.09,1,0.14
3,'2018/02/15 22:47:16:703',1,0,0,0.09,1,0.14
4,'2018/02/15 22:47:16:720',1,0,0,0.09,1,0.14
5,'2018/02/15 22:47:16:735',1,0,0,0.09,1,0.14
6,'2018/02/15 22:47:16:753',1,0,0,0.09,1,0.14
7,'2018/02/15 22:47:16:769',1,0,0,0.09,1,0.14
8,'2018/02/15 22:47:16:785',1,0,0,0.09,1,0.14
9,'2018/02/15 22:47:16:803',1,0,0,0.09,1,0.14
10,'2018/02/15 22:47:16:819',1,0,0,0.09,1,0.14
11,'2018/02/15 22:47:16:836',1,0,0,0.09,1,0.14
12,'2018/02/15 22:47:16:853',1,0,0,0.09,1,0.14
13,'2018/02/15 22:47:16:868',1,0,0,0.09,1,0.14
14,'2018/02/15 22:47:16:885',1,0,0,0.09,1,0.14
15,'2018/02/15 22:47:16:902',1,0,0,0.09,1,0.14
16,'2018/02/15 22:47:16:920',1,0,0,0.09,1,0.14
17,'2018/02/15 22:47:16:939',1,0,0,0.09,1,0.14
18,'2018/02/15 22:47:16:958',1,0,0,0.09,1,0.14
19,'2018/02/15 22:47:16:973',1,0,0,0.09,1,0.14
20,'2018/02/15 22:47:16:993',1,0,0,0.09,1,0.14
21,'2018/02/15 22:47:17:009',1,0,0,0.09,1,0.14
22,'2018/02/15 22:47:17:040',1,0,0,0.09,1,0.14
23,'2018/02/15 22:47:17:065',1,0,0,0.09,1,0.14
24,'2018/02/15 22:47:17:095',1,0,0,0.09,1,0.14
25,'2018/02/15 22:47:17:110',1,0,0,0.09,1,0.14
26,'2018/02/15 22:47:17:129',1,0,0,0.09,1,0.14
27,'2018/02/15 22:47:17:145',1,0,0,0.09,1,0.14
28,'2018/02/15 22:47:17:162',1,0,0,0.09,1,0.14
29,'2018/02/15 22:47:17:178',1,0,0,0.09,1,0.14
30,'2018/02/15 22:47:17:194',1,0,0,0.09,1,0.14
31,'2018/02/15 22:47:17:211',1,0,0,0.09,1,0.14
32,'2018/02/15 22:47:17:228',1,0,0,0.09,1,0.14
33,'2018/02/15 22:47:17:244',1,0,0,0.09,1,0.14
34,'2018/02/15 22:47:17:261',1,0,0,0.09,1,0.14
35,'2018/02/15 22:47:17:277',1,0,0,0.09,1,0.14
36,'2018/02/15 22:47:17:296',1,0,0,0.09,1,0.14
37,'2018/02/15 22:47:17:321',1,0,0,0.09,1,0.14
38,'2018/02/15 22:47:17:337',1,0,0,0.09,1,0.14
39,'2018/02/15 22:47:17:354',1,0,0,0.09,1,0.14
40,'2018/02/15 22:47:17:369',1,0,0,0.09,1,0.14
41,'2018/02/15 22:47:17:386',1,0,0,0.09,1,0.14
42,'2018/02/15 22:47:17:404',1,0,0,0.09,1,0.14
43,'2018/02/15 22:47:17:422',1,0,0,0.09,1,0.14
44,'2018/02/15 22:47:17:437',1,0,0,0.09,1,0.14
45,'2018/02/15 22:47:17:454',1,0,0,0.09,1,0.14
46,'2018/02/15 22:47:17:469',1,0,0,0.09,1,0.14
47,'2018/02/15 22:47:17:488',1,0,0,0.09,1,0.14
48,'2018/02/15 22:47:17:503',1,0,0,0.09,1,0.14
49,'2018/02/15 22:47:17:520',1,0,0,0.09,1,0.14
50,'2018/02/15 22:47:17:537',1,0,0,0.09,1,0.14
51,'2018/02/15 22:47:17:554',1,0,0,0.09,1,0.14
52,'2018/02/15 22:47:17:571',1,0,0,0.09,1,0.14
53,'2018/02/15 22:47:17:589',1,0,0,0.09,1,0.14
54,'2018/02/15 22:47:17:605',1,0,0,0.09,1,0.14
55,'2018/02/15 22:47:17:623',1,0,0,0.09,1,0.14
56,'2018/02/15 22:47:17:639',1,0,0,0.09,1,0.14
57,'2018/02/15 22:47:17:657',1,0,0,0.09,1,0.14
58,'2018/02/15 22:47:17:673',1,0,0,0.09,1,0.14
59,'2018/02/15 22:47:17:690',1,0,0,0.09,1,0.14
60,'2018/02/15 22:47:17:706',1,0,0,0.09,1,0.14
61,'2018/02/15 22:47:17:722',1,0,0,0.09,1,0.14
62,'2018/02/15 22:47:17:739',1,0,0,0.09,1,0.14
63,'2018/02/15 22:47:17:758',1,0,0,0.09,1,0.14
64,'2018/02/15 22:47:17:774',1,0,0,0.09,1,0.14
65,'2018/02/15 22:47:17:805',1,0,0,0.09,1,0.14
66,'2018/02/15 22:47:17:822',1,0,0,0.09,1,0.14
67,'2018/02/15 22:47:17:837',1,0,0,0.09,1,0.14
68,'2018/02/15 22:47:17:861',1,0,0,0.09,1,0.14
69,'2018/02/15 22:47:17:875',1,0,0,0.09,1,0.14
70,'2018/02/15 22:47:17:892',1,1,1,0.09,1,0.14
71,'2018/02/15 22:47:17:909',1,0,0,0.09,1,0.14
72,'2018/02/15 22:47:17:928',1,1,1,0.09,1,0.14
73,'2018/02/15 22:47:17:945',1,1,1,0.09,1,0.14
74,'2018/02/15 22:47:17:961',1,0,0,0.09,1,0.14
75,'2018/02/15 22:47:17:978',1,1,1,0.09,1,0.14
76,'2018/02/15 22:47:18:010',1,0,0,0.09,1,0.14
77,'2018/02/15 22:47:18:027',1,1,1,0.09,1,0.14
78,'2018/02/15 22:47:18:044',1,1,1,0.09,1,0.14
79,'2018/02/15 22:47:18:061',1,1,1,0.09,1,0.14
80,'2018/02/15 22:47:18:077',1,2,2,0.09,1,0.14
81,'2018/02/15 22:47:18:094',1,0,0,0.09,1,0.14
82,'2018/02/15 22:47:18:111',1,2,2,0.09,1,0.14
83,'2018/02/15 22:47:18:128',1,1,1,0.09,1,0.14
84,'2018/02/15 22:47:18:144',1,2,2,0.09,1,0.14
85,'2018/02/15 22:47:18:175',1,2,2,0.09,1,0.14
86,'2018/02/15 22:47:18:192',1,2,2,0.09,1,0.14
87,'2018/02/15 22:47:18:208',1,2,2,0.09,1,0.14
88,'2018/02/15 22:47:18:227',1,2,2,0.09,1,0.14
89,'2018/02/15 22:47:18:244',1,2,2,0.09,1,0.14
90,'2018/02/15 22:47:18:275',1,1,1,0.09,1,0.14
91,'2018/02/15 22:47:18:294',1,2,2,0.09,1,0.14
92,'2018/02/15 22:47:18:310',1,1,1,0.09,1,0.14
93,'2018/02/15 22:47:18:326',1,1,1,0.09,1,0.14
94,'2018/02/15 22:47:18:342',1,0,0,0.09,1,0.14
95,'2018/02/15 22:47:18:361',1,1,1,0.09,1,0.14
96,'2018/02/15 22:47:18:377',1,2,2,0.09,1,0.14
97,'2018/02/15 22:47:18:393',1,0,0,0.09,1,0.14
98,'2018/02/15 22:47:18:410',1,1,1,0.09,1,0.14
99,'2018/02/15 22:47:18:428',1,1,1,0.09,1,0.14
100,'2018/02/15 22:47:18:444',1,2,2,0.09,1,0.14
101,'2018/02/15 22:47:18:460',1,2,2,0.09,1,0.14
102,'2018/02/15 22:47:18:476',1,0,0,0.09,1,0.14
103,'2018/02/15 22:47:18:493',1,0,0,0.09,1,0.14
104,'2018/02/15 22:47:18:510',1,0,0,0.09,1,0.14
105,'2018/02/15 22:47:18:526',1,0,0,0.09,1,0.14
106,'2018/02/15 22:47:18:542',1,1,1,0.09,1,0.14
107,'2018/02/15 22:47:18:558',1,1,1,0.09,1,0.14
108,'2018/02/15 22:47:18:575',1,0,0,0.09,1,0.14
109,'2018/02/15 22:47:18:593',1,1,1,0.09,1,0.14
110,'2018/02/15 22:47:18:609',1,2,2,0.09,1,0.14
111,'2018/02/15 22:47:18:626',1,1,1,0.09,1,0.14
112,'2018/02/15 22:47:18:643',1,2,2,0.09,1,0.14
113,'2018/02/15 22:47:18:660',1,2,2,0.09,1,0.14
114,'2018/02/15 22:47:18:677',1,0,0,0.09,1,0.14
115,'2018/02/15 22:47:18:692',1,4,4,0.09,1,0.14
116,'2018/02/15 22:47:18:709',1,2,2,0.09,1,0.14
117,'2018/02/15 22:47:18:727',1,2,2,0.09,1,0.14
118,'2018/02/15 22:47:18:743',1,2,2,0.09,1,0.14
119,'2018/02/15 22:47:18:759',1,2,2,0.09,1,0.14
120,'2018/02/15 22:47:18:775',1,2,2,0.09,1,0.14
121,'2018/02/15 22:47:18:792',1,6,6,0.09,1,0.14
122,'2018/02/15 22:47:18:809',1,0,0,0.09,1,0.14
123,'2018/02/15 22:47:18:827',1,0,0,0.09,1,0.14
124,'2018/02/15 22:47:18:844',1,0,0,0.09,1,0.14
125,'2018/02/15 22:47:18:875',1,0,0,0.09,1,0.14
126,'2018/02/15 22:47:18:891',1,0,0,0.09,1,0.14
127,'2018/02/15 22:47:18:908',1,0,0,0.09,1,0.14
128,'2018/02/15 22:47:18:926',1,0,0,0.09,1,0.14
129,'2018/02/15 22:47:18:942',1,0,0,0.09,1,0.14
130,'2018/02/15 22:47:18:959',1,0,0,0.09,1,0.14
131,'2018/02/15 22:47:18:976',1,0,0,0.09,1,0.14
132,'2018/02/15 22:47:18:992',1,0,0,0.09,1,0.14
133,'2018/02/15 22:47:19:009',1,0,0,0.09,1,0.14
134,'2018/02/15 22:47:19:040',1,0,0,0.09,1,0.14
135,'2018/02/15 22:47:19:059',1,0,0,0.09,1,0.14
136,'2018/02/15 22:47:19:076',1,0,0,0.09,1,0.14
137,'2018/02/15 22:47:19:107',1,0,0,0.09,1,0.14
138,'2018/02/15 22:47:19:123',1,0,0,0.09,1,0.14
139,'2018/02/15 22:47:19:140',1,0,0,0.09,1,0.14
140,'2018/02/15 22:47:19:157',1,0,0,0.09,1,0.14
141,'2018/02/15 22:47:19:173',1,0,0,0.09,1,0.14
142,'2018/02/15 22:47:19:190',1,0,0,0.09,1,0.14
143,'2018/02/15 22:47:19:205',1,0,0,0.09,1,0.14
144,'2018/02/15 22:47:19:224',1,0,0,0.09,1,0.14
145,'2018/02/15 22:47:19:239',1,0,0,0.09,1,0.14
